,GeneName,Slope,P-value,FDR
1308,CCNB1IP1P1,0.0012247963747133747,0.9485111103553315,1.0
1309,RP5-882O7.4,-0.023215230248309328,0.642046479458869,0.8989756802471827
1310,MRPS17P1,0.045993910467146765,0.28363059263306134,0.678638352032377
1311,HECTD3,-0.1131987832230277,0.0004483898253605391,0.018211073486341708
1312,UROD,-0.1234573207693392,0.05299461583686186,0.3016769622279419
1313,ZSWIM5,-0.19264937610948518,0.04405144294011238,0.2738040546498568
1314,OSTCP5,-0.024631890483847417,0.2630266092490015,0.6566299217886051
1315,LINC01144,0.06948344028152958,0.39557177004285726,0.7681605577340017
1316,HPDL,0.21009585452463508,0.029375484089944857,0.2162732875843924
1317,MUTYH,-0.1118534031611669,0.019701605310372582,0.17047868713010939
1318,TOE1,-0.007685229016917864,0.7915079219234755,0.9719015078732128
1319,TESK2,0.03701087036347663,0.314803749315577,0.7067360429554076
1320,RP11-291L19.1,-0.007871959913356348,0.8883533821489096,1.0
1321,CCDC163,-0.01438788435730824,0.8759537893312468,1.0
1322,MMACHC,0.017491791554123736,0.7182623282294203,0.937689863517242
1323,PRDX1,-0.022628796281299293,0.6008763633394489,0.8751912282870573
1324,HMGB1P48,0.009112257497602253,0.5463148413699404,0.8447838394805174
1325,AKR1A1,-0.06205882830803577,0.11529093563015541,0.4565474218715685
1326,AL355480.3,-0.001853643329108973,0.4768112374906379,0.800266506990466
1327,AL355480.1,0.006350247665008441,0.12665802530663545,0.4803128624983346
1328,NASP,0.05207223745051891,0.045710286409295295,0.27969244066983284
1329,AL355480.2,1.96542401833112e-05,0.996877897147042,1.0
1330,AL355480.4,0.00847825503249361,0.04715808698263093,0.28441711914082807
1331,CCDC17,0.23122222457924316,0.005568819728048177,0.08023568397825444
1332,GPBP1L1,0.11749045095390057,0.00025709360931291963,0.01326583584084207
1333,RPS15AP10,0.022982523381004743,0.8128150731417204,0.9806908842617806
1334,RP11-767N6.2,0.10790367181992276,0.16182147243335976,0.5235517721882429
1335,TMEM69,0.0065342066144937466,0.8633879884448186,1.0
1336,IPP,0.2025988691674418,0.0014669910110565133,0.03702541529153822
1337,RP11-767N6.7,0.23649374819021232,0.012418010744009533,0.13037000818018624
1338,RP11-630I5.1,-0.019583053468576143,0.7429107593908357,0.9494943554108523
1339,MAST2,-0.017078197902354906,0.7446990641391076,0.9502515323722545
1340,TMA16P2,0.018062168211079074,0.4742588959549632,0.800266506990466
1341,PIK3R3,-0.24864555160302215,0.00028827293168309293,0.014029186582829763
1342,RP4-533D7.4,-0.0361495162641308,0.2444774026954806,0.6341689963118038
1343,RP4-533D7.3,-0.008617624110228893,0.555951126826193,0.8498203482022604
1344,RP4-533D7.5,-0.04592511147724346,0.2428321134721664,0.6327776008912892
1345,TSPAN1,0.08347876724081224,0.501081013269758,0.816616355496526
1346,RP11-322N21.2,-0.00324361172274675,0.9014573891857021,1.0
1347,POMGNT1,-0.10823476536840282,0.017180505790854256,0.15848566612610943
1348,LURAP1,0.0004070581710667484,0.9964839957413771,1.0
1349,RAD54L,-0.1298825665560763,0.36378436812685344,0.7428118130807321
1350,LRRC41,-0.15399414874393355,2.6967760348485323e-05,0.0036441187449121554
1351,UQCRH,-0.06275546402018775,0.20056326385490664,0.5823086582123631
1352,NSUN4,-0.06790341180029692,0.031411644964451764,0.2246298823551678
1353,RP4-603I14.3,0.006092783091893,0.8814187290017764,1.0
1354,FAAH,-0.09920862684371488,0.07013069261941378,0.35257402333934973
1355,FAAHP1,-0.20922919711526397,0.07727526887211601,0.3702485060792134
1356,LINC01398,-0.10905416989568295,0.2677748768079205,0.6617939279595272
1357,DMBX1,-0.03518924235909029,0.5095231164833687,0.8224313723318526
1358,RP11-49P4.7,-0.006949187335094525,0.8352365866814894,0.9895653549897017
1359,MKNK1-AS1,0.2307148590958516,0.03218243418000908,0.2280137999779212
1360,KNCN,0.05133747035387963,0.28829146088993957,0.6838326062525997
1361,MKNK1,0.26291758714854874,0.006465710834228916,0.08798008122189058
1362,MOB3C,0.13754905359431432,0.027280273341472667,0.20724807713020818
1363,ATPAF1,0.04671079042217733,0.1853714026011542,0.559135621349368
1364,NENFP1,-0.041065986402778434,0.31393789688258866,0.7067360429554076
1365,TEX38,-0.16940754384834297,0.018786432533919775,0.16659989033329248
1366,EFCAB14-AS1,-0.09391999341663455,0.31501191782695503,0.7067360429554076
1367,EFCAB14,0.009733986726808846,0.6920037644649644,0.925079019579998
1368,RP11-8J9.5,0.002755737300986119,0.8612618441469713,1.0
1369,CYP4B1,0.021874665746261842,0.8628219504117616,1.0
1370,CYP4Z2P,0.02343249004396136,0.3378855328568986,0.7214896239242474
1371,RP11-346M5.1,-0.002238695545323993,0.8862537614859447,1.0
1372,CYP4A11,-0.18720589763841472,0.27192952498748507,0.6658522820415691
1373,CYP4A26P,0.002178742843971157,0.41940292463731466,0.7871302413985245
